（西皮原板）, 看 阵前 袁家军 犹如 海潮
（西皮原板）, 却 原来 袁绍 公 领兵 来到
（西皮原板）, 曹孟德 在 官渡 久候 故交
（西皮原板）, 你本 是 宦官 后 卑庶 太 小   今日 里 闭门 不 战
（西皮原板）, 要 打仗 我 自当 奉陪 东道   我 岂 肯 劳 大驾 空 走 一 遭
（西皮二六板）, 曹孟德 你 不必 花 言语巧   分明 是 不 敢 战 你 妄想 脱逃   普天下 俱 听 我 袁家令号   我 是 料 你 要 退守 官渡
（西皮快板）, 袁绍 把 话 讲 差 了   老夫 岂 肯 降 尔曹   舍曹 某 有 何 人 天子 扶保   舍曹 某 有 何 人 辅佐 当朝   舍曹 某 有 何 人 群雄 平扫   舍曹 某 又 有 何人 压强 豪
（西皮原板）, 为 国家 我 曹操 不畏 强暴   为 国家 我 曹操 不 怕 枪 刀   为 国家 我 曹操 不 怕 讥笑   为 国家 我 曹操 不辞辛劳   因此 上 领 雄兵 将 你 征剿   定 将 你 豪强 首 除根 拔苗
（西皮原板）, 听他 言 不由 我 心头 气恼   官渡 口 弹丸 地 扫灭 在 今朝   霎时间 我 若 将 城池 破 了   到 那时 叫 尔等 鬼哭 神号
（西皮原板）, 叫 袁绍 你 不必
（西皮快板）, 休要 急躁   战 不 战 全 凭 我 随意 而 挑   我 劝 你 要 提防 入 我 圈套   官渡 口早 与 你 设下 笼牢
（西皮散板）, 人 来 与 爷齐 攻打
（西皮散板）, 既 来 之 则 安之 我 任 你 逍遥
（西皮散板）, 老夫 摆 下天 罗网   管 叫 曹操 无处 藏   他 兵 少 粮 缺 难 久 战   不出 三月 命 必亡
（二黄散板）, 官渡 口聚 雄兵 曹袁 决斗   里 无 粮 外 无 草 日夜 忧愁   众将 官见 粮 尽 主张 退走   怕 的 是 闸开 水流 就 覆水难收
（二黄碰板）, 星夜 里 修 书信 我 去 把 粮求
（二黄原板）, 危难处 我 定要 决心 死守   也 不 知 许昌城 有 粮 无 有
（二黄原板）, 也 不 知 何日 里 运来 营头   纵然 是 有 粮草 也 难以 持久   若 不然 劫 粮草 去 把 营偷   若 不然 我 诈败 弃营 我 将 他 引诱   破 强敌 必须 要 出其不意
（二黄散板）, 思 过来 想 过去 眉头 紧皱   对 孤灯 呕心血 无 计可筹
（二黄散板）, 随 丞相 在 官渡 日夜 防守   内 无 粮 外 无 草 令 人 担忧
（内西皮导板）, 袁公不听 忠言 告
（西皮流水板）, 欺 我 一 遭 又 一 遭   避祸 不 能 冀州 去   营中难 把 军务 操   进退无门 难 坏了   日坐愁城 似 囚牢
（西皮散板）, 曹营 今日 缺 粮饷   正好 分兵 取 许昌   急忙 前往 中 军帐   请出 主公 做 主张
（二黄散板）, 谁知 袁绍 他
（二黄散板）, 悲愤 交集 恨 难 消   悔不该 当初 投 袁绍   祸 到 临头 难 脱逃   良言 相劝
（二黄原板）, 他 全不晓   听信 谗言 害 故交   我 谅 他 难以 破 曹操   我 谅他 瓦解 在 今朝   我 谅他 死期 将 来到   我 料 他 袁家 的 基业 一旦 抛
（二黄原板）, 到 如今 全 家 受难难 自保   怎 不 叫人 心内焦   我 自寻 苦恼 被 嘲笑   连累 妻儿 受 煎熬   我 越 思 越 想 心头 恼
（二黄散板）, 行 此 短见 为 哪 条
（西皮快板）, 曹操 治国 有 怀抱   礼贤 下士 待 英豪   我 今 去 把 曹操保   拿住 审 配方 恨消   耳听 喧哗 人马噪
（西皮散板）, 冀州 粮车 奔 乌巢   我 劝 曹公劫 粮草   四面 放火 照 天 烧   任凭 你 有 十万 大军 如 虎豹   一夜之间 成 饿殍
（西皮摇板）, 也 曾 修书 许昌往   不 知 何日 发 军粮   日夜 不 离 中 军帐   破袁之策思 常 想
（西皮摇板）, 一 见 曹操披 肝胆   倒 叫 许攸心 不安   难得 丞相 不 小看   推心置腹 吐 真言   还望 不 嫌 相投 晚   从此 效力 在 帐 前
（西皮摇板）, 故友 之 交 诚 相见   老夫 敬 你 是 英贤
（西皮摇板）, 有幸 共 图 天下事   协助 老夫 来 破袁
（西皮快板）, 那 袁绍 雄兵 有 十万   在 乌巢 屯粮 堆 如 山   请 丞相 烧 粮草 就此 一 战   十万 众 自 溃散 弹指之间
（西皮快板）, 屯粮 处 怎 无 有 能 将 看管
（西皮快板）, 淳于琼 好吃 酒 戒备 不严
（西皮快板）, 从 官渡 到 乌巢路 有 多远
（西皮快板）, 四十 里 一夜间 可以 往还
（西皮快板）, 路途 中 有 盘问 如何 分辩
（西皮快板）, 就说是 袁家军 前去 增援   夜行军 有 向导 才 为 方便   我 许攸随 丞相 一马当先
（西皮散板）, 走向前 施 一 礼 谢过 子远
（西皮散板）, 这 才 是 故人 来 胜似 雄兵 万千
（西皮散板）, 叫人 来 传 将令 众将 来见
（西皮散板）, 今夜 晚 随 老夫 前去 破袁
（内西皮导板）, 误 中 奸计 全军丧
（西皮散板）, 四 面 埋伏 怎 提防   勒马 提刀 四 下 望
（西皮快板）, 乌巢 军粮 冒 火光   耳旁 听 得 金鼓 响   想 是 追兵 在 后方   仓皇 之 际 无处往
（西皮散板）, 杀 你 个 丢盔
（西皮散板）, 卸甲亡
（西皮二六板）, 师爷 说话 言 太差   不由 黄忠 怒气发   一十三 岁 习 弓马   威名 镇守 在 长沙   自从 归顺 皇叔 爷的驾   匹 马 单刀 取 过 了 巫峡   斩 关 夺寨 功劳 大   师爷 不信 在 功劳 簿上 查 一 查   非 是 我 黄忠夸 大话
（西皮快板）, 铁 胎宝弓 手中 拿   满满 搭上 朱红扣
（西皮快板）, 帐下 儿郎 个个夸   二 次 再 用 这 两 膀 力
（西皮快板）, 人 有 精神 力 又 加   三 次 开弓 秋月 样
（西皮散板）, 再 与 师爷 把 话 答
（西皮快板）, 军师 休 道 我 年纪 大   有 几 辈 老将 听 根芽   赵国 廉颇 通 兵法   汉室 马援 定 邦 家   虎头 金 枪 耍 一 耍
（西皮散板）, 我 比 黄忠 也 不 差
（西皮流水板）, 一 个 西川 英名 大   一 个 威震 在 长沙   二 位 老将 齐 上马   得胜 回来 把 功加
（西皮摇板）, 黄忠 接令 把 帐下
（西皮摇板）, 不由 严 颜 笑哈哈
（西皮摇板）, 一 不 用 战鼓 咚咚 地 打
（西皮摇板）, 二 不 用 副帅 把 队 押
（西皮摇板）, 事不宜迟 把 马 跨
（西皮摇板）, 要 把 张郃一 马 踏
（西皮快板）, 背地里 暗笑 诸葛亮   他 道 老夫 少 刚强   虽然 年迈 精神爽   杀人 如同 宰鸡羊   催 马来 在 阵 头上
（西皮摇板）, 来 了 送死 小 儿郎
（西皮快板）, 宝刀 一举 红光放   无知 匹夫丧 疆场   眼前 若 有 诸葛亮   管 叫 他
（西皮快板）, 天 荡 山后 把 火放   烧 得 贼 兵 无 躲藏   催 马来 在 山坡 上
（西皮摇板）, 抖擞 精神 战 一 场
（西皮快板）, 金 枪 一举 贼命丧   无能 下 将 也 猖狂   老夫 不 把 功劳 抢   要 被 诸葛 笑 一场
（西皮二六板）, 在 黄罗宝 帐领 将令   气坏 了 老将 黄汉升   某 昔年 大战 长沙 郡   偶遇 云长 二 将军   某 中 了 他人 的 拖刀计   俺 的 百步穿杨 箭 射 他 盔缨   弃暗投明 来 归顺
（西皮快板）, 食王 的 爵禄 当 报王的恩   孝 当 竭力 忠心 尽   再 与 师爷 把 话 云   一 不 用 战鼓 咚咚 打   二 不 用 副将 随后 跟   只要 黄忠 一 骑 马   匹 马 单刀 取 定军   十日 之内 得了 胜   军师 大印 付与 我的身   十日 之内 不得胜   愿 将 老头 挂 营 门   来来来
（西皮摇板）, 我 要 把 定军山 一 扫平
（西皮摇板）, 但愿 老将 早 得胜
（西皮摇板）, 遣将 哪有 激将 能
（西皮快板）, 我 主爷 帐 中 把 令 传   将士 纷纷 取 东川   恼恨 那 军师 见识 浅   他 道 我 胜 不过 那 夏侯渊   张郃被 某 吓破胆   弃甲 丢盔 走 荒山   坐在 雕鞍 三 军 唤   大小 儿郎 听 我 言   上前 个个 功劳 显   退后 的 人头 挂 高竿   大喝 一 声 催 前站
（西皮散板）, 十日 之内 取 东川
（西皮快板）, 两 下 交兵 在 山坡   睁开 二 目 细 观 着   夏侯渊 相貌 真 凶恶   黑面 钢须 煞气多   劝 你 马前 归顺 我   少 若 延迟 命 难 活
（西皮散板）, 二 马 连环 战 山坡   黄忠 老儿 你 听着   中原 大将 就是 我   乌鸦 敢 夺 凤凰 窝
（西皮摇板）, 适才 大战 在 山坡
（西皮流水板）, 一来一往 动干戈   魏营 打 罢 得胜 鼓   我军 为何 不 鸣锣
（西皮散板）, 听 一言 来 心头 火   不由 老夫 咬牙腭   三军 与 爷马 带过
（西皮流水板）, 夏侯渊 果然 武艺 好   可算 将 中 一 英豪   将 身且 把 宝 帐到
（西皮摇板）, 营外 为何 闹 吵吵
（西皮快板）, 这 一 封 书信 来得巧   助我 黄忠 成功 劳   站立 在 营门 三军 叫   大小 儿郎 听 根苗   头 通 鼓
（西皮散板）, 到 明天 午时 三 刻成 功劳
（二黄导板）, 听说 是 二姣儿 打伤人
（二黄摇板）, 唬得 我 三 魂 少 二 魂   回头 便 把 姣儿 问   哪 一 个 奴才 打伤人
（二黄摇板）, 大骂 无知 小 沉香   敢 在 学中 把 人 伤   手拉姣儿 秦府往
（二黄摇板）, 去 到 秦府 把 命偿
（二黄摇板）, 大骂 秋儿 小 畜生   敢 在 学中 打伤 人   手拉姣儿 出府门
（二黄摇板）, 去 到 秦府 把 命 倾
（二黄慢板）, 伯 夷叔 齐 二 大贤   推位 让 国坐 龙廷   兄 让 弟来弟不允   弟 让 兄 来 兄 不 担承   一 个 打从 前门 走   一 个 逃出 后宰门   弟兄 双双 无 投奔   首 阳 山前 命 归 阴
（二黄原板）, 我 本当 带 沉香 秦府 去 偿命
（二黄原板）, 后堂 内 请出 了 儿 的 娘亲
（内二黄导板）, 听说 是 二姣儿 一 声 请
（二黄慢板）, 后堂 内 来 了 我 王氏桂 英   站立 在 屏风 后用 耳细听
（二黄慢板）, 又 听得 他 父子 大放悲声
（二黄原板）, 莫不是 二姣儿 不 听 教训   黄金 不 打 子 不成
（二黄原板）, 莫不是 在 衙前 把 事 办错   朝房 内 还有 我 年迈 爹尊
（二黄原板）, 莫不是 老爷 嫌官 小   少不得 一 步 一 步 往上 升
（二黄原板）, 这 不 是 那 不 是 是 何 意见
（二黄摇板）, 莫不是 二姣儿 打伤人
（二黄导板）, 听说 是 二姣儿 打伤人
（二黄摇板）, 冷水 浇头 怀抱 冰   回头 便 把 老爷 问
（二黄摇板）, 哪个 奴才 打伤人
（二黄摇板）, 二 堂 领了 老爷 命   命 我 拷打 二 姣生   回头 便 把 沉香 问   哪个 奴才 打伤人
（二黄摇板）, 我 这里 错 打 沉香 子   老爷 一旁 发 恨 声   问 罢 沉香 把 秋 儿问   南 学之 事 说 分明
（二黄摇板）, 我 这里 不 打 秋 儿子   老爷 道 我 两 样 心   恨 着 心肠 将 儿打
（二黄摇板）, 打在 儿身痛 在心
（二黄摇板）, 看起来 还是 儿 偿命   自己 养 的 自己 疼   手提 姣儿 出府门
（二黄摇板）, 去 到 秦府 把 命 倾
（二黄摇板）, 一 句 话儿 错出唇   把 姣儿 送 在 枉死 城   手拉姣儿 后堂 进
（二黄摇板）, 犹恐失 了 夫妻情   走上 前来 忙 跪 定   尊声 过往 众神灵   我 若舍子 有 假意
（二黄摇板）, 悬梁 高挂 一 条 绳
（二黄摇板）, 多谢 夫人 开了恩
（二黄摇板）, 秦 府 人 役 闹 沉沉
（二黄导板）, 父子 们诉 衷肠 珠泪 难忍
（二黄摇板）, 为 父言 来 听 分明   那 王桂英 不 是 儿 的 亲
（二黄摇板）, 那 王桂英 不 是 儿 的 亲生母
（二黄摇板）, 三 圣母 是 儿 的 亲生 娘亲
（二黄摇板）, 为 父言来儿 不 信   现有 血书 做 凭证
（二黄摇板）, 一 见 血书 果是 真   怎 不 叫人 两 泪 淋   回头 便 把 母亲 请
（二黄摇板）, 姣儿 为何 不 逃生
（二黄摇板）, 辞别 母亲 出府门
（二黄摇板）, 怕是 难 出 罗 州城
（二黄摇板）, 罗州 生来 罗州养
（二黄摇板）, 那 一 个 不 认得 小 沉香
（二黄摇板）, 抓 把 灰土 抹 儿脸
（二黄导板）, 眼 观看 小姣儿 逃 了 命
（二黄摇板）, 顷刻 父子 两 离 分
（二黄摇板）, 他 母子 哭得 如 酒醉   自己 养 的 自己 疼   一 根 锁绳 把儿 来 带定
（二黄摇板）, 去 到 秦府 把 命 倾
（西皮原板）, 自 那日 朝 驾 归 精神 不爽   因此 上染 重病 睡卧 在床   这 几 日 我 未曾 参见 王 上   宫闱 内出 刺客 扰乱 朝纲
（西皮原板）, 晋 王爷 坐江山 人称 有道   普天下 众 黎民 快乐 逍遥   看起来 大 晋朝 国运 衰 了   宫闱 内出 刺客 混乱 九 朝   叫 家 院 忙 带路 前 迎道   看 一 看 审 刺客 是 怎样 开销
（西皮原板）, 来 至 在朝 房 内 用 目 观看   审 刺客 何用 你 宰相 专权   怒冲冲 将 大 丞相 抓下 公案
（西皮摇板）, 我 问你 审 刺客 是 哪 部 官员
（西皮原板）, 非 是 我 不念 你 同 朝 情面   审 刺客 本 是 我 刑部 在先   施 一 礼 众 大人 听 我 审判
（西皮摇板）, 审 不 清 问 不明 启奏 龙颜
（西皮原板）, 朝 房 内 比 不得 荒野 小县   本部 堂 岂 容 你 信口 胡言   叫人 来 重责 他 四十 大 板   少 时间 管 叫 你 皮肉 难全
（西皮摇板）, 好 一 个 小 刺客 真真 大胆   上堂 来 他 竟敢 信口 胡言   叫人 来看 过 了 铜 夹板   一霎时 管 叫 你 性命 不全
（西皮导板）, 铜 夹板 夹 的 我 高声 叫喊
（西皮摇板）, 不由得 灵魂儿 飞上 九 天   自 幼儿 出 娘胎 未 受 此 难   要 叫 我 招 口供 难上加难
（西皮摇板）, 这 件 事 倒 叫 我 难以 审断   用尽 了 百般刑 不 吐 真言   无奈何 下位 来 将 他 来劝   叫 刺客 进 前来 细 听 我 言
（西皮原板）, 我 看 你 是 一 个 英雄 好汉   为什么 当 刺客 下贱 不堪   招实 供 史 娘娘 感 你 的 恩德 非浅   众 公卿 保奏 你 在 廉外 为官
（西皮摇板）, 听说 是 割 舌根 心惊 肉震   吓 得 我 战 兢兢 遍体 汗淋   下位 来 我 这里 把 话 来 论   尊 一 声 众 大人 细 听 分明
（西皮摇板）, 小 刺客 咬牙 关 不 吐 真言   用尽 了 各 刑法 也是 枉然   辞别 了 众 大人 回 衙转   这 件 事 你 二 人 定 有 牵连
（二黄摇板）, 得 恩不报 非 君子   反 把 恩情 当作 仇
（二黄摇板）, 陆 老爷 才 高   好 叫我 藏 杀人刀
（二黄摇板）, 雪艳 好比 貂禅女   汤勤 好比 董卓 身   我 定下 王允 连环 计   此 计 定要 害 奸人
（二黄摇板）, 我 服 仁兄 真 妙 才   他 将 此 事 落 了 胎   八 台 总兵 依然 在   可叹 莫 成 无葬埋   辞别 仁兄 下 月台   三 日 后 专 听 报 马来
（二黄摇板）, 汤勤枉 作 黄杨 梦   要 想 成亲 万 不能
（内二黄导板）, 听樵楼 打 罢了 初 更 时候
（二黄原板）, 身 不定 来 坐 不宁   我 老爷 在 原郡 何等 安静   做 什么 官 来 管 什么 民   悔不 该 收 了 汤 勤 贼   笼中 养 虎 反 伤身   人头 不 像 老爷样   连累 八 台戚 大人   一步儿 来 在 洞房口   管 叫 贼子一命丧 归阴
（二黄原板）, 人 逢 喜气 精神 爽   月 到 中秋 分外明
（二黄原板）, 骂声 贼 子 太 不仁   害 我 一 家 两 离 分   手执钢刃 将 你 刺   誓叫 你 狗命丧 残生
（干板）, 做贼 的
（西皮导板）, 太爷 堂上 有 鬼神
（西皮原板）, 小人 我 焉敢 攀扯 好人   兄弟们 结拜 一十七 个
（西皮原板）, 连 王良 在内 一十八 名
（西皮原板）, 我 命 他 四 路 去 打听   打听 得 保成府 有 金银   头 门上 推 墙 整 两 垛   仪门 上 挖 下 了 两 个 犬洞
（西皮原板）, 弟兄们 一齐 往里 走   高堂 上 坐定 了 白发 的 夫人   我 问她 要 银 她 无 有   怒恼 了 小人 用 非刑
（西皮原板）, 打劫 了 金银 往外 走   回马枪 挑 死 了 小东人
（西皮原板）, 打劫 了 金银 无其数   鬼家庄 上 分赃银
（西皮原板）, 太爷 若是 不 肯 信   现有 白绫 做 证凭
（二黄原板）, 叫 丫鬟 看 过 酒一樽   我 与 老爷 来 饯行   此 一 番 老爷 把 京进   但愿 得 加官进禄 步步 高升
（二黄原板）, 接过 了 夫人 酒一樽   背 转身 来 谢 神灵   转面 来 再 与 夫人 论   下官 言 来 你 是 听   高堂 老母 多 孝顺   早晚 侍奉 要 殷勤   辞别 了 夫人 足踏镫
（二黄摇板）, 披星戴月 奔 都城
（二黄摇板）, 一 见 老爷 跨鞍镫   但愿 他 此 去 早 回程
（二黄摇板）, 马蹄 踏遍 路边 草   不觉 来 至 馆驿中
（二黄慢板）, 一轮明月 早 东升   想起 了 高堂 上 老 娘亲   伴君 犹 如 羊 伴 虎   尽 得 忠 来 难 把 孝行
（二黄原板）, 移星换斗 二 更 尽   坐 不安 来 睡 不 宁   霞 谷 县 并不 曾 亏负 百姓   金牌 调 我 所 为何 情
（二黄原板）, 听 谯楼 打 罢了 三更 时分   一轮明月 照 街心   有 寇准独宿馆驿 心中 愁闷   想起 了 在 衙内 审理 民情   早 堂 接状 早堂审   午堂 接状 审 得 清   到 晚 来 接下 无 头状   一 盏 红灯 审 到 天明
（二黄原板）, 耳边厢 又 听 得 四 更尽   家 院 与爷 改换 衣巾
（二黄原板）, 转面 来 再 对 家 院叫   老爷 言 来 你 是 听   我 命 你 回衙 报 一 信   一路上 急走 莫 少 停   倘若 是 太 夫人 将 你 来问   你 就说 你 老爷 不久 回程   倘若 是 少 夫人 将 你 来问   你 就说 你 老爷 进 都城
（二黄原板）, 朝臣 待 漏 五 更 冷   铁甲 将军 夜渡津   东华门 本 是 文官 走   西华 门 本 是 武将 行   有寇准 打从 这 东华门 进
（二黄原板）, 又 听得 文武 发 笑声   他 笑 我 寇准 官职 小   七 品 县令 怎 见 当今   有才 不 在 官 大小   无 才 枉受 爵禄恩   撩袍 端 带 把 龙廷 进
（二黄摇板）, 三 呼 万 岁 臣 见 君
（二黄摇板）, 八 贤 王 做 了 主 大胆 审问   哪怕 那 贼 潘洪 国戚 皇亲
（二黄摇板）, 好 一 个 忠心 小 寇准   七 品 县令 审 皇亲   但愿 潘洪早 招认   免得 本御 挂在 心   内侍 带路 后宫 进   惩奸 除 佞仗 贤臣
（二黄散板）, 金殿 领了 万岁命   西 台 御史 审 皇亲
（二黄散板）, 独坐 宫中心 烦闷   等候 寇准问 分明
（二黄散板）, 急忙忙 来 在 宫闱境   心有 疑难 问 圣明
（二黄散板）, 内侍 带 马 不中用   孤 王 亲自 带 “ 白 龙 ”
（二黄散板）, 自 盘古 哪 有 君 与 臣 带马
（二黄散板）, 本御带 马表 寸心
（二黄散板）, 臣 大胆 谢 千 岁 忙 跨金镫
（二黄散板）, 一 见 寇准 上马 行   且 坐 宫中等 信音
（二黄散板）, 御史 衙前 下 金镫
（二黄散板）, 老 贼 不 信 抬头 看   本 御史 不 比 前任 官
（二黄散板）, 说 什么 皇亲 国戚 我 不 敢 打   我 打的 是 谋 朝 卖国 的 臣
（二黄导板）, 上堂 来 打了 我 四十 大 板
（二黄原板）, 只 打 得 两 腿 鲜血淋   咬定 了 牙关 不 招认   看他 把 我 怎样 行
（二黄散板）, 人 来 与 爷看 夹棍   看 他 招承不招承
（二黄散板）, 人 来看 过 红铁练   看 他 招承不招承
（二黄原板）, 昏昏 沉沉 阴曹 府进   飘飘 渺渺 有 还魂   猛然间 睁开 了 昏花眼   我 面前 站定 了 对 头人   手摸 胸膛 想 一 想   后宫 是 我 的 什么 人   有朝 进 西宫 奏 一 本   管教 你 小寇儿 活 不成
（二黄导板）, 潘仁 美 跪 殿 角 一言告禀
（二黄原板）, 昔日 里 设下 了 天 齐 大会   我 的 儿小潘 豹 摆擂 扬名   杨七郎 逞英雄 吾儿 丧命   因此 上 打 子仇 怀恨 在心   勾结 了 萧 银 宗 打来 战表   要 夺取 我 主爷 锦绣 龙廷   在 金殿 本 是 我 讨下 帅印   命杨 家 父子们 以为 先行   两 狼 山 打 一 仗 他 父子 被困   杨继业 命 七 郎回营 搬兵   我 一 见 小 畜生 想起 了 打子 仇恨   因此 上将 七 郎 乱 箭 穿身   剩下 了 杨六郎 逃回 本 郡   八 贤 君 扶助 他 面奏 当今   我 心中 只 恼恨 仇人 三 个
（二黄散板）, 第一 个 恨 的 是 那 八 贤 君
（二黄散板）, 第二 个 恨 的 是 那 御史 寇准
（二黄散板）, 第三 个 恨 的 是 六 郎 仇人   害杨 家 都 只为 打子 的 仇恨   因此 上官 报 私仇 灭 他 的 满门   望阎君 开 大恩 放 我 回转   从 今后 回 阳间 改学 好人
（二黄慢板）, 昨日 里 皇儿 把 药 煎   今日 腹中 好几 分   内臣 与 孤 金殿进   看 是 何人 把 本 申
（同二黄摇板）, 急忙忙 来 在 金殿 里   见 了 万岁奏 端的
（二黄摇板）, 一 见 玉带 不 由 孤 心中恼   子淫 父妃 乱 朝纲   梓童 暂 归 宫闱 里   内臣 宣上 李世民
（二黄摇板）, 听说 父王 来 宣诏   但 不知所为 哪 一 条
（二黄摇板）, 骂声 奴才 真 大胆   子淫 父妃 乱 朝纲   吩咐 两 旁 武士手   推出 午门 把 刀 开
（二黄摇板）, 听说 要 斩 二 主 君   不由 为 臣胆战惊   将 身且 把 金殿 进   见 了 万岁奏 分明
（二黄摇板）, 听说 要 斩 二 主 君
（二黄摇板）, 不由 吾等 胆战惊
（二黄摇板）, 你 我 上 殿 把 本 进
（同二黄摇板）, 那 旁 来 了 文曲星
（二黄摇板）, 听说 要 斩 二 主 君   斩断 擎天 柱 一 根   保本 官儿 推出 斩   长孙无忌 问 典刑   徐勣
（二黄摇板）, 曾 记得 驾 坐 太原省   三 搜 晋阳 主为君   二千 岁 大战 王世充   瓦岗 收来 众 英雄   美 良川 前收敬德   千秋 岭下战 罗成   大唐 收 了 罗士信   日锁五 龙 定 太平   争 来 了 江山 多 安稳   乐以忘忧 乱 斩 人
（二黄摇板）, 自古 有道 伐 无道   成 汤王 有道 救 黎民   南巢 山下 桀王 死   万 里 江山 一旦 倾
（二黄摇板）, 将 孤王 比作 无道 君   你 与世民 同 斩刑
（二黄摇板）, 这 是 那 前朝 好色 君   万 里 江山 一旦 倾
（二黄摇板）, 这 都 是 前朝 无道 君   拿着 江山 让 外邦
（二黄摇板）, 那 幽王 本 是 无道君   骊山 举 火焚 烟墩   各 路 诸侯 无 救应   万里 江山 一 笑 倾
（二黄摇板）, 将 孤 比作 无道 君   胆大 遂 良乱 胡行
（二黄摇板）, 骂声 遂 良 太 无礼   敢 在 金殿 藐视君
（二黄摇板）, 平王 本 是 无道君   父 纳 子 妾乱 人伦   忠良 谏奏 反 伤 命   留下 臭名 万古存
（二黄摇板）, 平王 本 是 无道君   败坏 三 纲 没 五伦
（二黄摇板）, 宣公 宠爱 夏 迎春   起意 谋害 无 盐 身   鲁国 吴起来 犯境   无奈 跪 门 求 救兵
（二黄摇板）, 杨广本 是 无道君   欺娘奸妹 乱 人伦   五 花 棒打 死 了 隋炀帝   我 主爷 才 得 驾 坐 西秦
（二黄摇板）, 不 是 卿家 把 本 奏   孤 王 倒 做 无道君
（二黄摇板）, 万岁 快把 赦 旨 降   午门 外 赦 回 二 主 君
（二黄摇板）, 内臣 摆驾 后宫 进   等候 皇儿 把 话吟
（西皮摇板）, 手 捧 赦 旨 下 龙庭   又 听 得 两 班 发笑声
（西皮流水板）, 这 一 旁 笑 坏了 徐勣
（西皮流水板）, 险些 误 了 大事情
（西皮摇板）, 兄 王作事 太 不仁   宫门 挂 带 害 我 身
（西皮摇板）, 万 岁 台前 不 准 本   愿 同 二 主 赴 幽冥
（西皮摇板）, 多亏 遂 良 提醒 孤   险些 做了 无道君
（西皮摇板）, 皇儿 上前 听旨降   从 今后 无事 不 可 入 昭 阳
（西皮摇板）, 谢罢父皇 下 殿往   险些 一 命 赴 汪洋
（西皮摇板）, 褚 爱卿 上前 听 封赠
（西皮流水板）, 孤 王言 来 听 端详   皇儿 犯罪卿 保本   不避 斧钺 是 忠良   孤 今 赐 你 尚方剑   朝里 朝外 要 查明   先斩后奏 你 执掌   封 你 一 代 一 个 忠孝王
（西皮流水板）, 山 呼 万 岁 谢龙恩   皆是 秦王 冤 不明   从 今后 莫信那谗臣 本   那时候 普天下 五 谷 丰登 齐奏 升平
（西皮紧板）, 满满 斟上 一 杯 酒   双膝 跪在 地 留 平
（西皮慢板）, 一 句 话儿 错出唇   见 兄弟 跪在 地 埃尘   用 手儿 搀起 结拜 弟
（西皮摇板）, 姐姐 言 来 听 原因   五百 银子 是 小事   哪 知 姐姐 费 尽心   前门 接 了 有钱 客   后门 送出 无钱 人   命苦 身落 烟花巷   难得 积攒 这 五百 银   但愿 得 买卖 多 茂盛   姐姐 才 的 放下 心
（西皮原板）, 姐姐 不 要 两泪淋   为 弟 也 非 无 义人   但愿 买卖 多 茂盛   我 情愿 将 姐姐 救出 娼门
（西皮原板）, 救 不救
（西皮原板）, 自古 路遥 知 马壮   日久 才 见 人 的 心
（西皮原板）, 好 一 个 路遥 知 马壮   日久 才 见 人 的 心   来来 来 随 姐姐 开 箱柜
（西皮原板）, 亲手儿 递 你 五百 银
（西皮原板）, 一 见 银两 放 桌案   再 叫 姐姐 你 听 原因
（西皮摇板）, 上楼 来 我 这里 打开 针织   观 兄弟 容貌 儿 可 算 第一   缝 搭膊 表 一 表 姐姐 的 情意   他 哪 知 陈 三 两 一 片 心机   观 兄弟 春心 动 放下 作 计
（花梆子原板）, 叫 兄弟 你 醒来 细听 仔细
（西皮二六板）, 我 将 搭 膊缝 完毕   再 叫 兄弟 听 仔细   来来来 你 把 肩 儿背
（西皮二六板）, 姐姐 打开 皇历 看 一 看   看看 黄道 好 吉日
（西皮二六板）, 初四
（西皮二六板）, 辞别 姐姐 下 楼去
（西皮二六板）, 回家 去 禀告 爹娘 知
（西皮原板）, 一 见 兄弟 下楼 门   背 转身 来自 想 情   但愿 买卖 多 茂盛   他 将 我 陈 三 两 救出 火坑
（西皮摇板）, 自从 起手 立 帝号   遇吉 累次 动 枪 刀   孤 王 坐在 金殿道   但愿 把 贼 一起 剿
（内西皮导板）, 君臣们 手挽手 出 了 都城
（西皮原板）, 恨 赵 王 无 皂白 赏罚 太 滥   把 一 个 白郎 竟 作 高官   论 功劳 我 廉颇 身经 百战   定名 位 我 在 后 他 反 在前   这样 的 不平事 气 破 肝胆   屈服 在 书生 下 心实 不甘
（西皮正板）, 威烈 王 坐 洛阳 朝政 不善   韩
（西皮摇板）, 才 保定 吾国 的 大好 江山
（西皮摇板）, 自 古道 手下人 见识 浅   说 是非 说 短长 竟 惹 祸端   从 今后 但 须 诵白圭之玷   我 只 当是 春风 吹 过 耳边
（西皮摇板）, 人 说 是 人 说 非人 说 长短   我 把 那 坏 话儿 不 挂心 间
（西皮原板）, 廉 将军 也 不过 一时 之见   终 不能昧 公理 敢讲 强权
（西皮摇板）, 一 朝 愤忘 其 身 必 遗 国患   他 逆 来 我 顺 受 方算 奇男
（西皮摇板）, 任 是 龙任 是 虎 我 都 不管   不 与 你 分 高下 羞立 朝 班
（西皮摇板）, 老 将军 太 任性 见识 又 浅   怕 的 是 因此 事 将相 争权   我 看 那 蔺相如 颇 有 肝胆   或 不致 为 私仇 国家 不安
（西皮摇板）, 我 与 他 活 冤家 偏不 相见   莫非 他 暗地里 巧 设 机关
